algo,64,128,256,512,1024,2048
alspp32,4867,9803,20904,44874,112054,230574
alspp64,3530,6929,13347,27825,60216,147038
alspp128,3712,4616,10785,20272,49465,120060
als,567,705,1264,14863,65342,280438 
icd,30172,60534,108326,224175,447860,933532 
